Tool,Label,Total Instances, Instances Processed, Accuracy, F1 Score, Precision, Recall
Adobe Extract, Table, 1635, 736, 0.52, 0.47, 0.45, 0.49
Adobe Extract, Paragraph, 39853, 30886, 0.85, 0.74, 0.72, 0.76
Apache Tika, Paragraph, 339603, 258582, 0.55, 0.52, 0.43, 0.65
Camelot, Table, 16289, 14661, 0.27,0.30, 0.23, 0.44
CERMINE, Title, 16196, 14501, 0.84, 0.81, 0.81, 0.81
CERMINE, Author, 19788, 14797, 0.43,0.44, 0.44, 0.46
CERMINE, Abstract, 19342, 16716, 0.71, 0.72, 0.68, 0.76
CERMINE, Reference, 40333, 35193, 0.80, 0.74, 0.71, 0.77
CERMINE, Paragraph, 361273, 348160, 0.89, 0.85, 0.83, 0.87
CERMINE, Section, 163077, 139921, 0.40, 0.35, 0.32, 0.38
Grobid, Title, 16196, 16018, 0.92, 0.91, 0.91, 0.92
Grobid, Author, 19788, 19563, 0.54, 0.52, 0.52, 0.53
Grobid, Abstract, 19342, 18714, 0.82, 0.82, 0.81, 0.83
Grobid, Reference, 40333, 36020, 0.82, 0.79, 0.79, 0.80
Grobid, Paragraph, 361273, 358730, 0.90, 0.90, 0.89, 0.91
Grobid, Section, 163077, 163037, 0.77, 0.74, 0.73, 0.76
Grobid, Caption, 90606, 62445, 0.57, 0.49, 0.47, 0.51
Grobid, Table, 16740, 8633, 0.24, 0.23, 0.23, 0.23
Grobid, Equation, 142736, 96560, 0.26, 0.25, 0.20, 0.32
PdfAct, Title, 17670, 16834, 0.85, 0.85, 0.85, 0.86
PdfAct, Author, 13110, 2187, 0.14, 0.13, 0.12, 0.18
PdfAct, Abstract, 21470, 4683, 0.17, 0.16, 0.15, 0.20
PdfAct, Reference, 30263, 12705, 0.19, 0.15, 0.17, 0.20
PdfAct, Paragraph, 361318,357905, 0.85, 0.85, 0.80, 0.89
PdfAct,Section, 129361, 87605, 0.21, 0.16, 0.12, 0.25
PdfAct, Caption, 83435, 53314, 0.45, 0.45, 0.40, 0.52
PdfAct, Footer, 32457, 26252, 0.23, 0.20, 0.25, 0.16
PyMuPDF, Paragraph, 339650, 258383, 0.55, 0.51, 0.41, 0.65
RefExtract, Reference, 40333, 38405, 0.55, 0.49, 0.44, 0.55
Science Parse, Title, 11696, 11687, 0.79, 0.70, 0.70, 0.70
Science Parse, Author, 471, 471, 0.54, 0.52, 0.52, 0.53
Science Parse, Abstract, 14150, 14149, 0.83, 0.81, 0.73, 0.90
Science Parse, Reference, 40333,35200, 0.55, 0.49, 0.49, 0.50
Science Parse, Paragraph, 361318, 355529, 0.79, 0.76, 0.76, 0.76
Science Parse, Section, 163077, 158556, 0.54, 0.49, 0.49, 0.50
Tabula, Table, 10361, 9456, 0.29, 0.28, 0.20, 0.46